IE_XML_ID;IE_NAME;CP_QUANTITY;CV_PRICE_1
13770;Motorola ST7500 TETRA;0;0.00
13640;Терек Старт-М;0;0.00
13638;Терек Старт;0;0.00
13483;Yaesu FTA-450L;0;0.00
13474;Motorola APX 8000HXE;0;0.00
13473;Motorola APX 8000H;0;0.00
13457;Icom IC-F29DR2;0;0.00
13453;Icom IC-G88;0;0.00
13447;Roger KP-54;0;0.00
13327;Yaesu AR-DV10;0;0.00
13325;Yaesu FT-70DR;0;0.00
13324;Yaesu FT-4XR;0;0.00
13321;Yaesu FT-4VR;0;0.00
13312;Motorola VZ-28;0;0.00
13311;Motorola VZ-20;0;0.00
13147;Yaesu FT-25R;0;0.00
13144;Yaesu FT-65R;0;0.00
13142;Yaesu FT2DR B3 EXP;0;0.00
13093;Icom IC-F9021T;0;0.00
13083;Icom IC-F2000D;0;0.00
13070;Icom IC-F1000D;0;0.00
12955;ЛУЧ РАДИО P-435;0;0.00
12906;Hytera PD405;0;0.00
12449;КОМБАТ Т-540;0;0.00
12372;Ajetrays AJ-546;0;0.00
12122;Комбат Т-54 DMR2 LCD;0;0.00
12121;Комбат Т-54 DMR2 VHF-3100;0;0.00
12119;Комбат Т-54 DMR Патруль Про 2;0;0.00
12118;Комбат Т-54 DMR2 UHF-3100;0;0.00
11959;ZTE PM790;0;0.00
11958;ZTE PH790;0;0.00
11957;ZTE PH500;0;0.00
11878;Vostok ST-33;0;0.00
11771;Vector VT-70XT;0;0.00
11770;Vector VT-70;0;0.00
11761;Vostok ST-35;0;0.00
11720;Icom IC-F29SR2;0;0.00
